Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
Garreglwyd Residential Care Home,Care Home Service,Adults Without Nursing,Garreglwyd Residential Home,Garreglwyd Road,Holyhead,LL65 1NS,Isle of Anglesey,01407762443,garreglwyd@ynysmon.llyw.cymru,28,Isle of Anglesey County Council Adults and Children's Services,6,,6,Rachel Williams,,,2018-11-09,SIN-00009078-DWDN,53.310507,-4.642681
Hyland Residential Home Ltd,Care Home Service,Adults Without Nursing,Hyland,Druid Road,Menai Bridge,LL59 5BY,Isle of Anglesey,01248858338,hylands@me.com,5,Hyland Residential Home Ltd,1,05999301,1,David Davies,,English,2018-11-27,SIN-00009660-WSYL,53.231046,-4.163263
Mon Care Service,Domiciliary Support Service,,Isle Of Anglesey County Council,Council Offices,Llangefni,LL77 7TW,Isle of Anglesey,01248752066,anncorbett@ynysmon.llyw.cymru,0,Isle of Anglesey County Council Adults and Children's Services,6,,10,Rachel Williams,,,2018-11-09,SIN-00009082-TNQX,53.253046,-4.309879
Pen Y Graig,Care Home Service,Adults Without Nursing,Pen Y Graig,,Brynteg,LL78 8QA,Isle of Anglesey,01248852843,penygraigres@hotmail.co.uk,3,Pen Y Graig,1,,1,Susan Roberts,,English,2018-11-27,SIN-00010074-YRQT,53.311389,-4.265276
Plas Dyffryn Residential Home,Care Home Service,Adults Without Nursing,Plas Dyffryn,Station Road,Holyhead,LL65 3EL,Isle of Anglesey,01407742064,jonathan@ansacareconcept.co.uk,16,Ansa Care Concept Ltd,1,04846922,1,,,English,2018-11-27,SIN-00009821-JRHD,53.280636,-4.566666
Plas Penmon Nursing Home,Care Home Service,Adults With Nursing,Plas Penmon Nursing Home,Penmon,Beaumaris,LL58 8RN,Isle of Anglesey,01248490788,buddug.jones@coeddu.com,24,Coed Du Hall Ltd,8,02873799,8,Esther Jones,,,2019-01-09,SIN-00009780-RPJQ,53.293354,-4.069956
Rhos Care Home,Care Home Service,Adults Without Nursing,Maltraeth,,Bodorgan,LL62 5AE,Isle of Anglesey,01407840182,info@rhoscyf.co.uk,33,Rhos Cyf,1,08371964,1,Ffion Jones,,Welsh,2019-06-27,SIN-00009655-JBTB,53.197829,-4.400097
Springholme Care Anglesey Ltd,Care Home Service,Adults Without Nursing,Springholme,Red Wharf Bay,Pentraeth,LL75 8EX,Isle of Anglesey,01248 450555,Carol.Tomkins@springholme.co.uk,45,SPRINGHOLME CARE ANGLESEY LTD,1,04415285,1,Carol Tomkins,,English,2019-01-17,SIN-00009222-FXHC,53.298052,-4.218122
TOWYN CAPEL RESIDENTIAL HOME,Care Home Service,Adults Without Nursing,Towyn Capel Retirement Home,Lon Towyn Capel Trearddur Bay,Holyhead,LL65 2TY,Isle of Anglesey,01407860227,inspirations03@gmail.com,30,Skyline Care Ltd,5,10861664,4,Richard Frimpong,,English,2018-06-13,SIN-00016138-QWLT,53.282091,-4.614731
Ty Gwyndy,Care Home Service,Adults Without Nursing,Gwyndy,Bull Bay Road,Amlwch,LL68 9EA,Isle of Anglesey,07793 803796,Gareth.oreilly@achievetogether.co.uk,4,Achieve together Ltd,17,03153442,5,Rachael Hawkins,,,2019-01-17,SIN-00015959-DMBN,53.410877,-4.350057
Woburn Hill,Care Home Service,Adults Without Nursing,2 High Street,,Cemaes Bay,LL67 0HH,Isle of Anglesey,01407481089,gareth.oreilly@achievetogether.co.uk,6,Achieve together Ltd,17,03153442,4,rachael Hawkins,,,2019-01-17,SIN-00012697-RDKN,53.412236,-4.4519
78 Westwood Drive,Care Home Service,Adults Without Nursing,78 Westwood Drive,,Treharris,CF46 5BL,Merthyr Tydfil,01443 414858,info.78Westwooddrive@swantoncare.com,1,SWANTON CARE & COMMUNITY LIMITED,24,05789785,11,Kate Townsley,,English,2025-02-04,SIN-00014774-BMQM,51.660625,-3.312806
80 Westwood Drive,Care Home Service,Adults Without Nursing,80 Westwood Drive,,Treharris,CF46 5BL,Merthyr Tydfil,01443 809335,info.80Westwooddrive@swantoncare.com,1,SWANTON CARE & COMMUNITY LIMITED,24,05789785,12,Kate Townsley,,English,2025-02-04,SIN-00014775-FQNB,51.660625,-3.312806
Caseys Lodge,Care Home Service,Adults Without Nursing,Caseys Lodge,Twyn Carmel,Merthyr Tydfil,CF48 1PF,Merthyr Tydfil,01685370200,markbevanr@aol.com,8,Care 4 U (Neath) Limited,2,06779316,1,Mark Richards,,English,2018-12-17,SIN-00009377-LXKD,51.751615,-3.417024
Elan Specialist Residential Care Service,Care Home Service,Adults Without Nursing,Leicester House,Aberfan Road,Merthyr Tydfil,CF48 4QN,Merthyr Tydfil,01443691724,craig.jones@elan-als.com,5,Elan Assisted Living Services Limited,2,07274654,1,Craig Jones,,English,2018-06-21,SIN-00008659-QTWT,51.692305,-3.345971
Elan Specialist Supported Living Service,Domiciliary Support Service,,53 Bridge Street,Troedyrhiw,Merthyr Tydfil,CF48 4DX,Merthyr Tydfil,01443691600,craig.jones@elan-als.com,0,Elan Assisted Living Services Limited,2,07274654,2,Craig Jones,,English,2018-06-21,SIN-00008660-LJSV,51.712198,-3.348037
Ger Y Nant,Care Home Service,Adults Without Nursing,Ger-y-nant,Cardiff Road,Treharris,CF46 5NB,Merthyr Tydfil,01443 411253,info.Gerynant@swantoncare.com,4,SWANTON CARE & COMMUNITY LIMITED,24,05789785,14,Kate Townsley,,English,2025-02-04,SIN-00014777-GKPR,51.663823,-3.316252
Glynbargoed Care Home,Care Home Service,Adults Without Nursing,Glyn Bargoed House,Glyn Bargoed Road,Treharris,CF46 6AA,Merthyr Tydfil,01443412905,glynbargoedhouse@btconnect.com,24,Roemarsh Limited,1,02527907,1,Yousaf Waheed,,English,2019-04-26,SIN-00009745-SCGF,51.664629,-3.296322
Heddfan residential Home,Care Home Service,Adults Without Nursing,Heddfan Residential Home,101a,Merthyr Tydfil,CF48 1TD,Merthyr Tydfil,07734105237,Ruthparkertb@gmail.com,5,Marilyn Murray,1,,1,Marilyn Murray,,English,,SIN-00009212-YWND,51.743735,-3.409057
Llyswen Care Home,Care Home Service,Adults Without Nursing,Llyswen,Mount View,Merthyr Tydfil,CF47 0UX,Merthyr Tydfil,01685 658486,sgriffiths@prospersupport.co.uk,3,PROSPER CARE & SUPPORT LIMITED,5,12589173,4,Stuart Griffiths,,English,2021-11-22,SIN-00014387-RSFV,51.747839,-3.359151
Maes Y Bryn,Care Home Service,Adults Without Nursing,Maes-y-bryn,Cardiff Road,Treharris,CF46 5NB,Merthyr Tydfil,01443 413499,info.Maesybryn@swantoncare.com,5,SWANTON CARE & COMMUNITY LIMITED,24,05789785,13,Kate Townsley,,English,2025-02-04,SIN-00014776-GKRG,51.663823,-3.316252
Nightingales Nursing Recruitment Agency Ltd,Domiciliary Support Service,,Nightingales Nursing Ltd,46 Upper Thomas Street,Merthyr Tydfil,CF47 0BN,Merthyr Tydfil,01685382999,info@nightingalesnursing.com,0,Nightingales Nursing Recruitemnt Agency Ltd,1,04300199,1,Thomas McNamara,,English,2020-04-21,SIN-00011737-SWHM,51.747444,-3.376073
Pantanas Care Centre,Care Home Service,Adults With Nursing,Pantanas Care Centre,Pantanas,Treharris,CF46 5BN,Merthyr Tydfil,01443570346,info@broadwaycare.co.uk,30,PANTANAS CARE CENTRE LTD,1,07575042,1,Santokh Bamrah,,English,2018-10-23,SIN-00009461-QGHH,51.662054,-3.308032
Plasnewydd Residential Home,Care Home Service,Adults Without Nursing,Plas Newydd Residential Home,Old Chapel Road Cefn Coed,Merthyr Tydfil,CF48 2PR,Merthyr Tydfil,01685382019,plas.newydd@btconnect.com,37,Plasnewydd Residential Homes Ltd,1,02014339,1,Mirza Baig,,English,2018-09-28,SIN-00009083-DDCC,51.761239,-3.403313
Prince Llewellyn Farm,Care Home Service,Adults Without Nursing,Prince Llewelyn Farm,,Treharris,CF46 5PG,Merthyr Tydfil,01443 412208,info.Princellewellynfarm@swantoncare.com,5,SWANTON CARE & COMMUNITY LIMITED,24,05789785,10,Kate Townsley,,English,2025-02-04,SIN-00014773-DGDJ,51.65784,-3.31978
Teulu Bach,Care Home Service,Adults Without Nursing,5 Park Terrace,,Merthyr Tydfil,CF47 8RF,Merthyr Tydfil,07734105237,Ruthparkertb@gmail.com,4,Ruth Parker,1,,1,Ruth Parker,,English,,SIN-00009179-BBNB,51.749952,-3.378409
Total Staffing Solutions Ltd t/a TCS Homecare,Domiciliary Support Service,,Orbit Business Centre,Rhydycar Business Park,Merthyr Tydfil,CF48 1DL,Merthyr Tydfil,01685352788,manager@totalcareservicesltd.co.uk,0,Total Staffing Solutions Ltd,2,09939052,2,Christopher Jones,,English,2021-11-09,SIN-00012509-HMHK,51.737754,-3.380413
Derive Care Ltd,Domiciliary Support Service,,Apex House,Wonastow Road Industrial Estate (east),Monmouth,NP25 5JB,Monmouthshire,01600715050,dm@derivecare.co.uk,0,Derive Care Ltd,2,13819399,2,Tanya Nesling,,English,2023-12-18,SIN-00013884-HDKK,51.807245,-2.728491
Eriskay,Care Home Service,Adults Without Nursing,Eriskay,,Chepstow,NP16 6ND,Monmouthshire,01600860452,joanna@eriskaycare.co.uk,6,Eriskay residential Care LTD,1,05658905,1,Rhiannon Bailey,,English,2018-10-01,SIN-00009828-XTHB,51.723569,-2.718518
Gibraltar House,Care Home Service,Adults With Nursing,Gibraltar Care Village,Gibraltar House,Monmouth,NP25 5FL,Monmouthshire,01600775880,ciw@gibraltarnursinghome.com,95,Gibraltar Care Village Ltd,1,09409464,1,Tracey Greenwood,,English,2018-08-16,SIN-00009586-MQQF,51.803135,-2.718345
Heathdene,Care Home Service,Adults Without Nursing,Heathdene Care Home,Blaenavon Road Govilon,Abergavenny,NP7 9NY,Monmouthshire,01873830827,shannon.gallagher@achievetogether.co.uk,6,Achieve together Ltd,17,03153442,8,rachael Hawkins,,English,2019-01-17,SIN-00012464-PNGS,51.81639,-3.059451
"Home Instead Monmouth, Abergavenny & Pontypool",Domiciliary Support Service,,Apex House,Wonastow Road Industrial Estate (east),Monmouth,NP25 5JB,Monmouthshire,01873 772772,laura.clatworthy@monmouthshire.homeinstead.co.uk,0,LKP Care Ltd,1,13832947,1,Laura Clatworthy,,English,2023-03-29,SIN-00013500-NCFD,51.807245,-2.728491
JSJ Supported Living Ltd,Domiciliary Support Service,,Unit 53 Singleton Court Business Centre,Wonastow Road Industrial Estate (west),Monmouth,NP25 5JA,Monmouthshire,01600716911,jsjliving@outlook.com,0,JSJ Supported Living Limited,1,06078339,1,Alison Griffiths,,English,2018-11-27,SIN-00010462-WLLM,51.807227,-2.729883
Pen y Hill,Care Home Service,Adults Without Nursing,Pen Y Hill House,Pen Y Pound,Abergavenny,NP7 7RW,Monmouthshire,01873859139,shannon.gallagher@achievetogether.co.uk,5,Achieve together Ltd,17,03153442,9,rachael Hawkins,,English,2019-01-17,SIN-00012501-YBYM,51.831944,-3.026059
Prestige Care Agency Services,Domiciliary Support Service,,Prestige Care Agency Services,69 Bridge Street,Usk,NP15 1BQ,Monmouthshire,01291408220,office@prestigecare.wales,0,Prestige Care Agency Services Ltd,1,10691779,1,David Williams,,English,2019-01-28,SIN-00009973-XMNK,51.702618,-2.904759
St Helens Domiciliary Care Ltd,Domiciliary Support Service,,Unit 3 Hatherleigh Place,Union Road West,Abergavenny,NP7 7RL,Monmouthshire,07765790354,djonessamuel@icloud.com,0,St Helens Domiciliary Care Ltd,1,08664803,1,Dean Jones-Samuel,,English,2018-07-11,SIN-00008773-VBGX,51.823047,-3.029702
The Drive Residential Care home,Care Home Service,Adults Without Nursing,The Drive,Whitehall Gardens,Caldicot,NP26 3EW,Monmouthshire,01633882942,driveresidential@hotmail.com,4,Terry Vers,1,,1,Terry Vers,,English,,SIN-00009358-VGBY,51.577526,-2.81645
The Kings Rest,Care Home Service,Adults Without Nursing,The Kings Rest,,Abergavenny,NP7 8RG,Monmouthshire,01873821770,thekingsrest@hotmail.com,3,Ferry Care Ltd,1,07767753,1,Peter Cox,,English,2018-09-24,SIN-00009044-QXKP,51.850205,-2.9264
Bevans House,Care Home Service,Adults Without Nursing,7a Station Terrace,,Neath,SA10 9DH,Neath Port Talbot,01639701320,markbevanr@aol.com,6,Care 4 U (Neath) Limited,2,06779316,2,Mark Richards,,English,2018-12-17,SIN-00009378-FQVR,51.766452,-3.710347
Brynsiriol Care Home,Care Home Service,Adults Without Nursing,259/261 Neath Road,Briton Ferry,Neath,SA11 2SL,Neath Port Talbot,01639813277,info@brynsiriol.com,20,Bravemore Limited,1,01838365,1,Iestyn Davies,,English,2018-07-23,SIN-00008725-QFWC,51.640159,-3.817885
Building Opportunities Learning Disabilities,Domiciliary Support Service,,7 Cimla Court,Cimla Road,Neath,SA11 3TT,Neath Port Talbot,07973499685,Daryl.Quarry@bo4ld.co.uk,0,BUILDING OPPORTUNITIES LEARNING DISABILITIES LTD,1,15928115,1,Daryl Quarry,,English,2026-04-01,SIN-00016060-FWZN,51.655661,-3.796341
Care Cymru - Swansea,Domiciliary Support Service,,Care Cymru - Swansea,Unit 20 Mardon Park,Port Talbot,SA12 7AX,Neath Port Talbot,01792 952483,nicola.jayne@carecymru.com,0,Care Cymru Services Ltd,5,04559246,2,Nicola Jayne,,English,2019-07-18,SIN-00013975-TRRP,51.619955,-3.822408
Cared care Limited,Domiciliary Support Service,,45 New Road,,Skewen,SA10 6EP,Neath Port Talbot,07824696880,info@caredcare.co.uk,0,Cared care limited,1,10834329,1,Kimberley Yeates,,English,2020-07-13,SIN-00011896-YTPW,51.661221,-3.842585
Careful Care Ltd,Domiciliary Support Service,,96 Gnoll Park Road,,Neath,SA11 3DD,Neath Port Talbot,01639795555,carefulcareltdwales@gmail.com,0,careful care ltd,1,7634094,1,Andy Michaelides,,English,2021-11-29,SIN-00012686-SXQN,51.664433,-3.798409
Clarian Hope Bryncoch Residential Care,Care Home Service,Adults Without Nursing,7 Crud Yr Awel,,Neath,SA10 7PG,Neath Port Talbot,01639635043,clarianhope@gmail.com,3,Clarian Hope LTD,3,06264104,1,Andrew Evans,,English,2018-07-31,SIN-00009114-SSCR,51.674254,-3.812885
Clarian Hope LTD Domiciliary Support Service,Domiciliary Support Service,,"Room 4, Unit 13 - 14",Seaway Parade Industrial Estate,Port Talbot,SA12 7BR,Neath Port Talbot,07794364746,clarianhope@gmail.com,0,Clarian Hope LTD,3,06264104,3,Andrew Evans,,English,2018-07-31,SIN-00009116-SXSH,51.613259,-3.816378
Clarian Hope LTD Port Talbot Residential Care,Care Home Service,Adults Without Nursing,78 Penllyn,Cwmavon,Port Talbot,SA12 9NN,Neath Port Talbot,01639687540,clarianhope@gmail.com,3,Clarian Hope LTD,3,06264104,2,Andrew Evans,,English,2018-07-31,SIN-00009115-NHMX,51.616919,-3.758513
CWC Support Services,Domiciliary Support Service,,Wellington Place,Aberavon,Port Talbot,SA12 6LN,Neath Port Talbot,07391050379,Lee.bates@Carewithoutcompromise.org.uk,0,Care Without Compromise Limited,6,06511464,2,Lee Bates,,English,2018-12-31,SIN-00013593-WKTY,51.594606,-3.792027
EMJ & GP Ltd TA Park View Care Home,Care Home Service,Adults Without Nursing,94 Gnoll Park Road,,Neath,SA11 3DD,Neath Port Talbot,01639641861,manager.pvch@gmail.com,34,EMJ & GP Limited,1,06203383,1,Fernando Neto,,English,2018-08-21,SIN-00008810-WVGS,51.664433,-3.798409
Gardens Care Home,Care Home Service,Adults Without Nursing,42 Victoria Gardens,,Neath,SA11 3BH,Neath Port Talbot,01639760275,garethwilliams@gardenscarehome.co.uk,4,Gardens Care Limited,2,07249965,2,Gareth Williams,,English,2019-01-10,SIN-00010088-DHKP,51.661128,-3.801069
Gardens Care Limited,Domiciliary Support Service,,Office 13 Sandfields Business Centre,Purcell Avenue,Port Talbot,SA12 7PQ,Neath Port Talbot,07446988539,garethwilliams@gardenscarehome.co.uk,0,Gardens Care Limited,2,07249965,1,Gareth Williams,,English,2019-01-10,SIN-00012924-WYLH,51.604735,-3.830796
Gentle Care Services Limited,Domiciliary Support Service,,Croeserw Community Centre,Bryn Siriol Cymmer,Port Talbot,SA13 3PL,Neath Port Talbot,01639 203176,trahar2021@outlook.com,0,Gentle Care Services Limited,2,11748730,2,Barbara Trahar,,English,2020-04-01,SIN-00011431-SYCP,51.644392,-3.63513
Gentle Care Services Ltd,Domiciliary Support Service,,Croeserw Community Centre,Bryn Siriol Cymmer,Port Talbot,SA13 3PL,Neath Port Talbot,07538494127,BarbaraTraharGentlecare@outlook.com,0,Gentle Care Services Limited,2,11748730,1,Barbara Trahar,,English,2020-04-01,SIN-00011663-BJJH,51.644392,-3.63513
Glangarnant,Care Home Service,Adults Without Nursing,Glan Garnant,Neuadd Road,Ammanford,SA18 1UF,Neath Port Talbot,01269 825740,glangarnant@swantoncare.com,9,SWANTON CARE & COMMUNITY LIMITED,24,05789785,22,Kate Townsley,,English,2025-02-04,SIN-00014806-CYWC,51.801706,-3.894187
Gnoll Nursing Home,Care Home Service,Adults With Nursing,Gnoll Nursing Home,27 Gnoll Park Road,Neath,SA11 3BT,Neath Port Talbot,01639637988,gm-neath@serenity-homes.org,29,Serenity Homes Limited,1,05865450,1,Nargis Sardar,,English,2018-08-09,SIN-00008996-MKFJ,51.662972,-3.799248
Harvilah Management Ltd,Domiciliary Support Service,,4 Brombil Street,,Port Talbot,SA13 1ND,Neath Port Talbot,07931366452,harvilahmanagementltd@gmail.com,0,Harvilah Management Ltd,1,14902092,1,Damian Nsugbe,,,2025-11-03,SIN-00015127-YKHF,51.580135,-3.765449
Millenium Care Ltd,Domiciliary Support Service,,Millennium Care Ltd,Pen Y Bryn,Neath,SA11 3JT,Neath Port Talbot,01639641641,,0,Millenium Care Ltd,1,03989202,1,Karen Egan,,English,2019-03-22,SIN-00010354-NFMT,51.679764,-3.7677
Moderncare,Domiciliary Support Service,,Moderncare,Unit 11a Llandarcy House,Neath,SA10 6EJ,Neath Port Talbot,01792818345,staceynoakes@modern-care.co.uk,0,Moderncare,1,,1,Stacey Noakes,,English,2023-02-21,SIN-00013322-PFFP,51.648544,-3.852753
Queens Care Home,Care Home Service,Adults Without Nursing,The Queens,Queen Street,Port Talbot,SA13 3BL,Neath Port Talbot,01639 850512,david.kwei@rushcliffehospitals.co.uk,4,Rushcliffe Independent Hospitals (Aberavon) Limited,1,05838291,1,David Kwei,,English,2025-11-17,SIN-00015869-ZYRV,51.680852,-3.628921
Rhyd Hir,Care Home Service,Adults Without Nursing,12B Rhyd Hir,,Neath,SA10 7HP,Neath Port Talbot,01792817736,wales.services@nas.org.uk,3,National Autistic Society,9,01205298,8,,,English,2019-06-12,SIN-00009868-VYFC,51.671099,-3.83078
South Wales Community Service - Western Bay,Domiciliary Support Service,,Glamorgan House Autism Centre,Monastery Road,Neath,SA10 7DH,Neath Port Talbot,02920629300,wales.services@nas.org.uk,0,National Autistic Society,9,01205298,9,Danielle Wilson,,English,2019-06-12,SIN-00009870-RQYB,51.662007,-3.826249
Thrive Helping Hands,Domiciliary Support Service,,18 Port Talbot Road,,Port Talbot,SA13 1DT,Neath Port Talbot,01639 894864,info@thrivegroupwales.co.uk,0,PTAWA Enterprises Ltd,1,10812095,1,,,English,2025-06-24,SIN-00015367-KPCP,51.591311,-3.778673
Trem Y Glyn Residential Home,Care Home Service,Adults Without Nursing,Trem-y-glyn Residential Care Home,Park Avenue Glynneath,Neath,SA11 5DW,Neath Port Talbot,01639 720786,s.jones14@npt.gov.uk,27,Neath Port Talbot County Borough Council,4,,3,Sorelle Jones,,,2019-02-01,SIN-00015230-WMFJ,51.745515,-3.626292
Ty Canol,Care Home Service,Adults Without Nursing,Ty Canol,Longford Court,Neath,SA10 7HN,Neath Port Talbot,01792326826,wales.services@nas.org.uk,3,National Autistic Society,9,01205298,3,Danielle Wilson,,English,2019-06-12,SIN-00009859-VHWF,51.671639,-3.831336
Ty Coed,Care Home Service,Adults Without Nursing,Ty Coed,Longford Court,Neath,SA10 7HN,Neath Port Talbot,01792326825,wales.services@nas.org.uk,5,National Autistic Society,9,01205298,5,Danielle Wilson,,English,2019-06-12,SIN-00009862-WRFV,51.671639,-3.831336
Ty Coed Bungalow,Care Home Service,Adults Without Nursing,Ty Coed Bungalow,Longford Court,Neath,SA10 7HN,Neath Port Talbot,01792326822,wales.services@nas.org.uk,2,National Autistic Society,9,01205298,6,Danielle Wilson,,English,2019-06-12,SIN-00009864-KGHW,51.671639,-3.831336
Ty Gwerthfawr,Care Home Service,Adults Without Nursing,Ty Gwerth Fawr,Gellinudd Pontardawe,Swansea,SA8 3DX,Neath Port Talbot,01792885126,referrals@manddcare.co.uk,12,M&D Care Operations Ltd,17,13974689,15,Michelle Martin,,,2023-09-19,SIN-00015284-HCGK,51.723299,-3.830861
Ty Mawr,Care Home Service,Adults Without Nursing,Ty Mawr,Longford Court,Neath,SA10 7HN,Neath Port Talbot,01792326820,wales.services@nas.org.uk,4,National Autistic Society,9,01205298,4,Danielle Wilson,,English,2019-06-12,SIN-00009861-CNNX,51.671639,-3.831336
Ty Nant Care Home,Care Home Service,Adults With Nursing,Tynant Nursing Home,Viaduct Road,Port Talbot,SA13 3NR,Neath Port Talbot,01639851852,manager@tynantcarehome.com,61,GLASSLIGHTS LIMITED,1,02052685,1,Ayesha Ahmad,,English,2018-11-08,SIN-00009765-PYBH,51.649857,-3.633361
West Glamorgan Shared Lives,Adult Placement Service,,Neath Port Talbot County Borough Council,Civic Centre,Neath,SA11 3QZ,Neath Port Talbot,01639686123,westglamorgansharedlives@npt.gov.uk,0,Neath Port Talbot County Borough Council,4,,1,Adrian Bradshaw,,English,2019-02-01,SIN-00014633-GCKN,51.662555,-3.800663
Westley Manse Project,Domiciliary Support Service,,17 Grange Street,,Port Talbot,SA13 1EN,Neath Port Talbot,01639891237,,0,BYRON JAMES,1,,1,Byron James,,English,,SIN-00010475-JFPN,51.591924,-3.775593
106 Thompson Avenue,Care Home Service,Adults Without Nursing,106 Thompson Avenue,,Newport,NP19 4LX,Newport,07884218744,enquiries@principalitycare.com,4,Principality Care Ltd,2,16128976,2,Alun Phillips,,English,2025-08-19,SIN-00015973-NSLG,51.582295,-2.955464
Ample Healthcare Services Ltd,Domiciliary Support Service,,Unit 3,Enterprise Way,Newport,NP20 2AQ,Newport,07877749106,info@amplehealthcareservices.ltd,0,Ample Healthcare Services Ltd,2,14668321,2,Linda Ncube,,English,2023-12-08,SIN-00014256-YTLS,51.578561,-2.987279
Ample Healthcare Services Ltd,Domiciliary Support Service,,Unit 3,Enterprise Way,Newport,NP20 2AQ,Newport,07877749106,info@amplehealthcareservices.ltd,0,Ample Healthcare Services Ltd,2,14668321,1,Linda Ncube,,English,2023-12-08,SIN-00014255-KQGG,51.578561,-2.987279
Arise Nursing,Domiciliary Support Service,,1 Bailey Street,,Newport,NP20 4DJ,Newport,03301335287,adesola.olawale@arisenursing.co.uk,0,Marwari Limited,3,10446125,3,Adesola Olawale,,English,2023-10-09,SIN-00014684-HBST,51.58643,-2.998795
Arise Nursing,Domiciliary Support Service,,1 Bailey Street,,Newport,NP20 4DJ,Newport,03301335287,adesola.olawale@arisenursing.co.uk,0,Marwari Limited,3,10446125,2,Adesola Olawale,,English,2023-10-09,SIN-00014463-YGXC,51.58643,-2.998795
Blue Heart Homecare,Domiciliary Support Service,,Notebook Money Ltd,Unit 31 Orion Suite,Newport,NP20 2DX,Newport,01633 646900,gemma@blueheartcare.co.uk,0,Blue Heart Care Group Ltd,1,12130507,1,Jonathan Freeman,,English,2026-02-19,SIN-00015977-QFDS,51.578582,-2.988016
Capel Grange Care Home,Care Home Service,Adults With Nursing,Capel Grange Community Nursing Home,Capel Crescent,Newport,NP20 2FG,Newport,01633 258901,neena@amayacarehomes.co.uk,72,Amaya Care Homes (Capel) Limited,1,15038957,1,Neena Gupta,,English,2025-01-15,SIN-00014619-VRWX,51.577039,-2.990739
Care Cymru Newport,Domiciliary Support Service,,Cymru Care,32 Bridge Street,Newport,NP20 4BH,Newport,01633 263166,torfaen.managers@carecymru.com,0,Care Cymru Services Ltd,5,04559246,3,Nicola Jayne,,English,2019-07-18,SIN-00011104-QGQY,51.58734,-3.000749
Claremont Court Care Home Ltd,Care Home Service,Adults With Nursing,Claremont Court Care Home,56 Pillmawr Road,Newport,NP20 6WG,Newport,01633854813,janeteagles@hotmail.co.uk,36,Claremont Court Care Home Ltd,1,08148083,1,Janet Eagles,,English,2019-01-07,SIN-00009008-DHJS,51.610905,-3.002061
DelCare Newport Limited,Domiciliary Support Service,,35 Stow Park Circle,,Newport,NP20 4HF,Newport,01633255740,admin@delcarenewport.co.uk,0,DelCare Newport Limited,1,15073008,1,Lynne Warman,,English,2024-11-15,SIN-00014943-LDQS,51.581507,-3.01094
Eleanor Hodson House Nursing Home,Care Home Service,Adults With Nursing,Eleanor Hodson House,Pillmawr Road,Newport,NP18 3QZ,Newport,01633 430994,care@eleanorhodsonhouse.co.uk,32,Isca Care Limited,1,13501889,1,"Arun Patel,Rita Patel",,,2021-12-03,SIN-00012769-PQWC,51.611542,-2.989583
Florence Justice Christian Home,Care Home Service,Adults Without Nursing,Florence Justice Residential Home,19 Stow Park Circle,Newport,NP20 4HF,Newport,01633221800,info@florencejustice.co.uk,27,Martin Phelps,1,,1,Martin Phelps,,English,,SIN-00009730-SBMP,51.581507,-3.01094
Gateway Support & Care Ltd,Domiciliary Support Service,,Newport Lorry Park,Albany Street,Newport,NP20 5NJ,Newport,01633681616,info@gatewayltd.wales,0,GATEWAY SUPPORT & CARE LTD,1,05300121,1,Rhiannon Bailey,,English,2019-05-15,SIN-00010134-CCWF,51.600611,-2.993417
Glenmore Residential Home,Care Home Service,Adults Without Nursing,Glenmore Residential Home,188-190,Newport,NP20 4HB,Newport,01633258601,glenmore@hotmail.co.uk,22,BABITA DANHAWOOR,1,,1,Babita Danhawoor,,English,,SIN-00010624-CMSJ,51.582994,-3.006297
Gwent Domiciliary Care Services Limited,Domiciliary Support Service,,36 Winchester Close,,Newport,NP20 3BL,Newport,07458095081,admin@gwentcare.com,0,Gwent Domiciliary Care Services Limited,1,14634731,1,,,English,2024-10-16,SIN-00014680-HYXH,51.570156,-3.010314
Homelands,Care Home Service,Adults Without Nursing,Homelands,"Penyworlod Road,",Newport,NP26 3AJ,Newport,07974 010542,helen.leigh@iriscaregroup.co.uk,5,Ocean Community Services Limited,17,05412018,1,Naima Khalid,,English,2018-08-07,SIN-00015324-QPGY,51.620286,-2.846352
Kensington Place,Domiciliary Support Service,,8 Kensington Place,,Newport,NP19 8GL,Newport,01633282554,amanda.elysium@btconnect.com,0,Elysium Cymru Ltd,1,06544676,1,Amanda O'Meara,,English,2019-03-18,SIN-00010171-WDSG,51.59036,-2.975308
Llanthewy House,Care Home Service,Adults Without Nursing,47 Llanthewy Road,,Newport,NP20 4JZ,Newport,01633660425,,7,llanthewy care services ltd,1,04667649,1,Sharon James,,English,2019-01-16,SIN-00009991-BMSS,51.583999,-3.008672
M N Pulse Solutions Ltd,Domiciliary Support Service,,Unit 17 Orion Suite,Enterprise Way,Newport,NP20 2DX,Newport,07878863114,nomvuyo.nkomo1@nhs.net,0,M N Pulse solutions  Ltd,1,11588677,1,Nomvuyo Nkomo,,English,2025-09-02,SIN-00015650-YSGN,51.578582,-2.988016
Mayfield Care Home,Care Home Service,Adults Without Nursing,Mayfield Residential Home,41 Llanthewy Road,Newport,NP20 4JZ,Newport,01633215050,maxine@pellserve.com,20,The fields nursing home ltd,2,02102874,1,Maxine Pell,,English,2018-08-08,SIN-00009192-DXKY,51.583999,-3.008672
